order_id,order_time,product_id,store_id,customer_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
ORD-0000001,2024-06-04 22:56:14,PROD-00238,STORE-005,CUST-000760,1,1634.82,10.0,Refunded,False
ORD-0000002,2024-08-20 13:57:27,PROD-00044,STORE-014,CUST-003965,2,457.17,0.0,Refunded,False
ORD-0000003,2024-09-26 20:27:00,PROD-00052,STORE-008,CUST-002867,3,1620.96,10.0,Paid,False
ORD-0000004,2024-06-24 05:20:29,PROD-00292,STORE-016,CUST-003952,1,455.65,5.0,Failed,True
ORD-0000005,2024-03-23 21:41:15,PROD-00052,STORE-001,CUST-002892,4,1530.91,15.0,Paid,False
ORD-0000006,2024-02-19 19:39:24,PROD-00073,STORE-010,CUST-003995,1,414.76,5.0,Paid,False
ORD-0000007,2024-11-07 22:22:43,PROD-00259,STORE-003,CUST-003224,3,128.66,10.0,Failed,True
ORD-0000008,2024-04-04 17:47:48,PROD-00210,STORE-007,CUST-000219,2,106.91,20.0,Paid,False
ORD-0000009,2024-05-20 18:13:26,PROD-00268,STORE-008,CUST-002330,1,111.88,0.0,Paid,False
ORD-0000010,2024-10-01 15:47:00,PROD-00256,STORE-007,CUST-001148,1,258.84,5.0,Refunded,False
ORD-0000011,2024-06-20 03:26:43,PROD-00285,STORE-009,CUST-004311,1,154.74,20.0,Failed,False
ORD-0000012,2024-09-23 03:08:00,PROD-00202,STORE-008,CUST-002179,3,102.22,25.0,Paid,False
ORD-0000013,2024-08-05 10:45:00,PROD-00206,STORE-011,CUST-000941,1,897.68,0.0,Paid,False
ORD-0000015,2024-02-28 07:34:00,PROD-00024,STORE-008,CUST-001610,1,45.78,20.0,Failed,False
ORD-0000016,2024-05-26 17:34:07,PROD-00187,STORE-010,CUST-000884,2,679.41,5.0,Paid,False
ORD-0000017,2024-10-23 20:06:00,PROD-00114,STORE-003,CUST-001388,2,337.07,20.0,Paid,False
ORD-0000018,2024-12-29 00:43:06,PROD-00227,STORE-004,CUST-002636,2,1062.08,15.0,Paid,False
ORD-0000020,2024-07-18 10:35:47,PROD-00126,STORE-009,CUST-002638,1,207.68,5.0,Paid,False
ORD-0000022,2024-08-21 17:09:34,PROD-00246,STORE-005,CUST-000419,5,170.23,10.0,Refunded,False
ORD-0000023,2024-08-05 18:47:10,PROD-00240,STORE-013,CUST-001371,1,52.85,25.0,Paid,False
ORD-0000024,2024-08-16 00:53:49,PROD-00069,STORE-006,CUST-004869,3,80.85,10.0,Paid,False
ORD-0000025,2024-06-05 18:10:45,PROD-00277,STORE-009,CUST-002653,1,26.83,15.0,Refunded,False
