snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2024-12-02,PROD-00218,STORE-001,195,15,5
2024-12-02,PROD-00050,STORE-001,195,26,10
2024-12-02,PROD-00127,STORE-001,63,15,5
2024-12-02,PROD-00214,STORE-001,200,29,7
2024-12-02,PROD-00090,STORE-001,153,27,5
2024-12-02,PROD-00134,STORE-001,122,11,5
2024-12-02,PROD-00030,STORE-001,10,22,7
2024-12-02,PROD-00215,STORE-001,135,27,5
2024-12-02,PROD-00084,STORE-001,156,10,5
2024-12-02,PROD-00284,STORE-001,90,23,7
2024-12-02,PROD-00242,STORE-001,151,23,7
2024-12-02,PROD-00137,STORE-001,121,24,5
2024-12-02,PROD-00091,STORE-001,32,22,3
2024-12-02,PROD-00018,STORE-001,89,21,7
2024-12-02,PROD-00001,STORE-001,153,24,7
2024-12-02,PROD-00083,STORE-001,6,17,5
2024-12-02,PROD-00088,STORE-001,75,20,3
2024-12-02,PROD-00039,STORE-001,107,10,5
2024-12-02,PROD-00121,STORE-001,7,17,10
2024-12-02,PROD-00198,STORE-001,96,28,10
2024-12-02,PROD-00207,STORE-001,32,13,10
2024-12-02,PROD-00223,STORE-001,10,22,10
2024-12-02,PROD-00181,STORE-001,171,21,3
2024-12-02,PROD-00119,STORE-001,110,23,3
2024-12-02,PROD-00203,STORE-001,44,12,7
2024-12-02,PROD-00176,STORE-001,113,12,10
2024-12-02,PROD-00125,STORE-001,81,28,5
2024-12-02,PROD-00221,STORE-001,48,10,7
2024-12-02,PROD-00131,STORE-001,139,19,10
2024-12-02,PROD-00010,STORE-001,79,24,10
2024-12-02,PROD-00228,STORE-001,73,16,7
2024-12-02,PROD-00057,STORE-001,71,28,10
2024-12-02,PROD-00187,STORE-001,94,12,5
2024-12-02,PROD-00153,STORE-001,164,14,5
2024-12-02,PROD-00278,STORE-001,37,12,3
2024-12-02,PROD-00123,STORE-001,7,14,5
2024-12-02,PROD-00248,STORE-001,165,25,5
2024-12-02,PROD-00029,STORE-001,124,16,14
2024-12-02,PROD-00166,STORE-001,16,18,5
2024-12-02,PROD-00300,STORE-001,105,11,5
2024-12-02,PROD-00112,STORE-001,114,14,7
2024-12-02,PROD-00095,STORE-001,98,20,5
2024-12-02,PROD-00126,STORE-001,35,10,7
2024-12-02,PROD-00075,STORE-001,96,19,3
2024-12-02,PROD-00254,STORE-001,175,14,5
2024-12-02,PROD-00122,STORE-001,180,23,14
2024-12-02,PROD-00068,STORE-001,129,18,3
2024-12-02,PROD-00003,STORE-001,37,12,7
2024-12-02,PROD-00158,STORE-001,155,22,7
2024-12-02,PROD-00184,STORE-001,132,26,14
2024-12-02,PROD-00097,STORE-001,177,18,7
2024-12-02,PROD-00231,STORE-001,85,19,3
2024-12-02,PROD-00080,STORE-001,88,17,5
2024-12-02,PROD-00298,STORE-001,158,11,7
2024-12-02,PROD-00225,STORE-001,45,23,7
2024-12-02,PROD-00179,STORE-001,44,26,14
2024-12-02,PROD-00043,STORE-001,82,28,7
2024-12-02,PROD-00098,STORE-001,144,20,10
2024-12-02,PROD-00024,STORE-001,82,19,7
2024-12-02,PROD-00102,STORE-001,26,29,5
2024-12-02,PROD-00264,STORE-001,42,28,14
2024-12-02,PROD-00071,STORE-001,106,10,10
2024-12-02,PROD-00169,STORE-001,167,18,3
2024-12-02,PROD-00222,STORE-001,71,26,14
2024-12-02,PROD-00236,STORE-001,84,12,10
2024-12-02,PROD-00150,STORE-001,53,11,3
2024-12-02,PROD-00219,STORE-001,186,13,14
2024-12-02,PROD-00276,STORE-001,134,11,10
2024-12-02,PROD-00299,STORE-001,33,16,7
2024-12-02,PROD-00263,STORE-001,113,15,14
2024-12-02,PROD-00178,STORE-001,38,14,10
2024-12-02,PROD-00286,STORE-001,202,26,3
2024-12-02,PROD-00025,STORE-001,193,18,14
2024-12-02,PROD-00037,STORE-001,115,29,14
2024-12-02,PROD-00082,STORE-001,65,12,14
2024-12-02,PROD-00035,STORE-001,107,17,3
2024-12-02,PROD-00105,STORE-001,62,17,5
2024-12-02,PROD-00094,STORE-001,59,13,14
2024-12-02,PROD-00282,STORE-001,181,20,7
2024-12-02,PROD-00177,STORE-001,109,20,3
2024-12-02,PROD-00133,STORE-001,69,13,14
2024-12-02,PROD-00115,STORE-001,98,30,7
2024-12-02,PROD-00173,STORE-001,192,22,14
2024-12-02,PROD-00016,STORE-001,182,28,7
2024-12-02,PROD-00240,STORE-001,107,15,14
2024-12-02,PROD-00093,STORE-001,48,11,3
2024-12-02,PROD-00172,STORE-001,192,21,5
2024-12-02,PROD-00034,STORE-001,132,27,3
2024-12-02,PROD-00145,STORE-001,91,18,14
2024-12-02,PROD-00096,STORE-001,90,26,3
2024-12-02,PROD-00197,STORE-001,84,12,14
2024-12-02,PROD-00170,STORE-001,196,27,14
2024-12-02,PROD-00193,STORE-001,146,15,14
2024-12-02,PROD-00266,STORE-001,10,28,3
2024-12-02,PROD-00212,STORE-001,158,26,7
2024-12-02,PROD-00005,STORE-001,11,20,3
2024-12-02,PROD-00195,STORE-001,147,24,5
2024-12-02,PROD-00256,STORE-001,110,23,14
2024-12-02,PROD-00086,STORE-001,145,29,14
2024-12-02,PROD-00012,STORE-001,30,28,3
2024-12-02,PROD-00218,STORE-002,25,17,14
2024-12-02,PROD-00050,STORE-002,30,25,10
2024-12-02,PROD-00127,STORE-002,74,28,14
2024-12-02,PROD-00214,STORE-002,105,10,14
2024-12-02,PROD-00090,STORE-002,98,29,14
2024-12-02,PROD-00134,STORE-002,107,16,3
2024-12-02,PROD-00030,STORE-002,34,18,3
2024-12-02,PROD-00215,STORE-002,46,17,10
2024-12-02,PROD-00084,STORE-002,121,11,3
2024-12-02,PROD-00284,STORE-002,37,19,10
2024-12-02,PROD-00242,STORE-002,177,24,14
2024-12-02,PROD-00137,STORE-002,173,13,10
2024-12-02,PROD-00091,STORE-002,156,15,3
2024-12-02,PROD-00018,STORE-002,206,19,10
2024-12-02,PROD-00001,STORE-002,37,27,7
2024-12-02,PROD-00083,STORE-002,195,28,3
2024-12-02,PROD-00088,STORE-002,162,29,3
2024-12-02,PROD-00039,STORE-002,116,12,10
2024-12-02,PROD-00121,STORE-002,2,10,7
2024-12-02,PROD-00198,STORE-002,174,22,14
2024-12-02,PROD-00207,STORE-002,135,16,3
2024-12-02,PROD-00223,STORE-002,129,12,7
2024-12-02,PROD-00181,STORE-002,18,27,14
2024-12-02,PROD-00119,STORE-002,46,30,3
2024-12-02,PROD-00203,STORE-002,-32,28,14
2024-12-02,PROD-00176,STORE-002,37,28,5
2024-12-02,PROD-00125,STORE-002,92,25,10
2024-12-02,PROD-00221,STORE-002,121,30,3
2024-12-02,PROD-00131,STORE-002,146,16,3
2024-12-02,PROD-00010,STORE-002,111,17,10
2024-12-02,PROD-00228,STORE-002,29,16,7
2024-12-02,PROD-00057,STORE-002,178,29,14
2024-12-02,PROD-00187,STORE-002,47,28,14
2024-12-02,PROD-00153,STORE-002,81,15,3
2024-12-02,PROD-00278,STORE-002,199,25,7
2024-12-02,PROD-00123,STORE-002,42,20,14
2024-12-02,PROD-00248,STORE-002,81,30,5
2024-12-02,PROD-00029,STORE-002,143,13,5
2024-12-02,PROD-00166,STORE-002,185,14,7
2024-12-02,PROD-00300,STORE-002,112,21,7
2024-12-02,PROD-00112,STORE-002,184,19,10
2024-12-02,PROD-00095,STORE-002,60,22,7
2024-12-02,PROD-00126,STORE-002,41,12,3
2024-12-02,PROD-00075,STORE-002,84,18,7
2024-12-02,PROD-00254,STORE-002,63,14,3
2024-12-02,PROD-00122,STORE-002,40,27,5
2024-12-02,PROD-00068,STORE-002,184,19,3
2024-12-02,PROD-00003,STORE-002,20,30,3
2024-12-02,PROD-00158,STORE-002,88,19,3
2024-12-02,PROD-00184,STORE-002,194,11,3
2024-12-02,PROD-00097,STORE-002,105,11,7
2024-12-02,PROD-00231,STORE-002,107,18,14
2024-12-02,PROD-00080,STORE-002,54,17,3
2024-12-02,PROD-00298,STORE-002,158,12,14
2024-12-02,PROD-00225,STORE-002,182,21,14
2024-12-02,PROD-00179,STORE-002,145,19,7
2024-12-02,PROD-00043,STORE-002,8,25,3
2024-12-02,PROD-00098,STORE-002,182,11,5
2024-12-02,PROD-00024,STORE-002,73,22,3
2024-12-02,PROD-00102,STORE-002,62,25,10
2024-12-02,PROD-00264,STORE-002,22,28,5
2024-12-02,PROD-00071,STORE-002,67,17,10
2024-12-02,PROD-00169,STORE-002,155,19,3
2024-12-02,PROD-00222,STORE-002,143,16,3
2024-12-02,PROD-00236,STORE-002,130,30,7
2024-12-02,PROD-00150,STORE-002,109,28,10
2024-12-02,PROD-00219,STORE-002,119,18,5
2024-12-02,PROD-00276,STORE-002,14,24,3
2024-12-02,PROD-00299,STORE-002,186,15,14
2024-12-02,PROD-00263,STORE-002,149,28,5
2024-12-02,PROD-00178,STORE-002,159,13,5
2024-12-02,PROD-00286,STORE-002,95,13,10
2024-12-02,PROD-00025,STORE-002,27,16,5
2024-12-02,PROD-00037,STORE-002,74,24,10
2024-12-02,PROD-00082,STORE-002,204,29,14
2024-12-02,PROD-00035,STORE-002,39,13,3
2024-12-02,PROD-00105,STORE-002,58,15,14
2024-12-02,PROD-00094,STORE-002,100,15,5
2024-12-02,PROD-00282,STORE-002,189,28,5
2024-12-02,PROD-00177,STORE-002,64,29,7
2024-12-02,PROD-00133,STORE-002,62,27,3
2024-12-02,PROD-00115,STORE-002,133,10,14
2024-12-02,PROD-00173,STORE-002,41,13,3
2024-12-02,PROD-00016,STORE-002,209,22,14
2024-12-02,PROD-00240,STORE-002,142,16,10
2024-12-02,PROD-00093,STORE-002,97,13,10
2024-12-02,PROD-00172,STORE-002,123,16,7
2024-12-02,PROD-00034,STORE-002,99,25,5
2024-12-02,PROD-00145,STORE-002,60,17,7
2024-12-02,PROD-00096,STORE-002,32,16,3
2024-12-02,PROD-00197,STORE-002,124,16,7
2024-12-02,PROD-00170,STORE-002,197,12,10
2024-12-02,PROD-00193,STORE-002,106,15,5
2024-12-02,PROD-00266,STORE-002,170,19,10
2024-12-02,PROD-00212,STORE-002,145,29,3
2024-12-02,PROD-00005,STORE-002,25,16,5
2024-12-02,PROD-00195,STORE-002,33,17,7
2024-12-02,PROD-00256,STORE-002,71,25,7
2024-12-02,PROD-00086,STORE-002,63,29,14
2024-12-02,PROD-00012,STORE-002,162,27,10
2024-12-02,PROD-00218,STORE-003,163,14,7
2024-12-02,PROD-00050,STORE-003,67,21,10
2024-12-02,PROD-00127,STORE-003,80,25,7
2024-12-02,PROD-00214,STORE-003,71,28,14
2024-12-02,PROD-00090,STORE-003,109,14,10
2024-12-02,PROD-00134,STORE-003,218,15,3
2024-12-02,PROD-00030,STORE-003,89,23,7
2024-12-02,PROD-00215,STORE-003,12,24,7
2024-12-02,PROD-00084,STORE-003,62,18,7
2024-12-02,PROD-00284,STORE-003,-16,15,3
2024-12-02,PROD-00242,STORE-003,161,19,14
2024-12-02,PROD-00137,STORE-003,116,14,14
